        1000       10       12000     0
      205021       0
          45       -8.9500      -49.2331
          76       -2.4186      -49.4256
          81        0.1083      -50.0485
         101       13.0325      -48.9356
         130       24.1175      -49.7302
         173       13.1472      -47.4680
         187       19.3470      -47.8368
         218       33.1226      -47.4660
         220       -8.8816      -46.1174
         235       -0.4066      -46.8407
         259       13.4727      -47.1290
         285       25.2330      -46.4014
         294       26.8829      -46.4918
         307       32.8730      -46.2047
         330       -2.1858      -45.5704
         378       -9.0486      -43.8312
         400       -2.5556      -42.9733
         404       -0.4684      -43.7657
         452       13.3746      -42.9556
         474       19.2719      -44.2037
         502       27.1727      -43.1181
         524       32.7047      -44.2279
         597       12.7952      -42.3583
         628       24.7699      -41.7192
         646       32.8387      -41.5111
         647       33.0720      -42.1067
         654       -8.7488      -40.1620
         681        0.0580      -39.9650
         717       13.2146      -39.8912
         732       19.0178      -41.1005
         756       26.4777      -40.3620
         791       -2.6029      -39.1820
         821       12.8820      -38.2758
         874       33.2662      -39.3961
         879       -8.9357      -36.5899
         973       19.7132      -38.0006
        1014       33.2795      -37.3270
        1030       -2.3041      -35.5093
        1041        0.4311      -36.3915
        1078       12.8610      -36.1293
        1079       13.0918      -36.5488
        1110       26.9345      -36.2995
        1130       33.2095      -35.7139
        1219       19.1690      -34.3208
        1227       24.5908      -34.8428
        1252       32.9435      -34.5001
        1259       -9.0937      -33.0781
        1276       -0.0839      -32.8779
        1306       13.0640      -32.1081
        1316       14.0891      -32.7417
        1339       24.3937      -32.2572
        1340       26.2302      -32.8644
        1378       -2.4830      -31.7940
        1465       19.6660      -30.7641
        1505       33.3440      -30.9194
        1511       -8.8989      -29.2784
        1529       -0.3452      -30.0615
        1595       13.5636      -29.7418
        1649       33.1987      -29.6989
        1661       -2.0969      -28.5741
        1702       12.9114      -27.9040
        1735       19.6663      -28.0614
        1755       24.6157      -28.1058
        1763       -9.1043      -26.4869
        1774       -0.2907      -26.2087
        1832       33.2008      -26.6554
        1837       33.0642      -26.5228
        1858       -2.4005      -24.7649
        1913       13.6870      -25.1122
        1933       24.7450      -25.6625
        1938       27.0964      -24.4688
        1953       32.7722      -24.7039
        2020       12.7866      -24.0217
        2021       13.4962      -23.3161
        2043       19.2681      -23.9521
        2085       -9.1350      -22.5226
        2106       -2.1575      -22.1432
        2116       -0.1229      -22.5984
        2191       25.5390      -21.5870
        2198       26.7252      -22.2934
        2217       32.6157      -22.3796
        2267       13.4182      -20.5626
        2290       20.3363      -21.0410
        2314       32.2621      -20.7416
        2316       -9.3149      -18.2855
        2338       -2.6584      -18.1816
        2351       -0.1411      -19.1921
        2391       13.2014      -18.6508
        2392       13.1274      -18.9246
        2453       33.1533      -18.8760
        2546       20.0216      -16.9428
        2563       25.5914      -17.9902
        2607       -9.0820      -15.9365
        2632       -0.3792      -16.0454
        2666       13.5100      -15.9128
        2715       27.1874      -15.3927
        2729       32.9207      -16.0887
        2744       -2.7234      -14.6918
        2767       13.1870      -14.5993
        2789       24.0025      -14.4101
        2811       32.9073      -14.2230
        2844       -0.3463      -12.0450
        2906       20.2677      -13.3213
        2932       26.5910      -12.0615
        2962       -9.3383      -10.7983
        2975       -3.0082      -10.4855
        3030       12.9301      -11.6937
        3077       24.4063      -10.9167
        3104       32.8857      -11.1627
        3107       -9.1581       -9.0600
        3183       19.9363      -10.2381
        3208       27.6824       -9.2693
        3231       32.8293      -10.3645
        3242       -3.1243       -7.5803
        3250        0.2280       -8.2511
        3281       13.8007       -8.7601
        3299       24.2872       -8.5884
        3343       -0.3732       -5.8701
        3389       13.6161       -6.9694
        3409       18.4969       -6.5330
        3451       32.6224       -6.3598
        3457       -9.0447       -5.0577
        3518       12.9794       -4.8438
        3519       13.4007       -5.5311
        3567       26.7843       -5.5140
        3615       -2.4234       -4.0779
        3683       20.0447       -3.3331
        3695       24.3172       -3.8602
        3715       33.1849       -3.9980
        3717       -8.9829       -2.3301
        3744       -0.2785       -2.1587
        3798       27.7335       -1.8375
        3808       32.7685       -2.5233
        3878       13.2395       -1.3185
        3914       25.4106       -0.0789
        3934       33.3874       -0.1790
        3940       33.2588       -0.0222
        3967       -3.0393        0.3247
        3973       -0.7172        1.8216
        4017       13.1416        1.0429
        4036       19.3856        0.6127
        4064       27.0947        1.3048
        4086       -9.2874        2.4702
        4107       -2.5930        2.4225
        4135       13.3571        2.5108
        4277       20.0499        4.3676
        4306       32.7504        4.5069
        4312       -9.2380        6.0302
        4336        0.3422        5.0880
        4352       10.4688        6.3426
        4361       14.5990        4.9519
        4395       26.8563        4.9706
        4451       -2.9028        6.4492
        4543       20.1408        7.7325
        4553       24.2806        6.7947
        4602       33.1181        7.5718
        4606       -9.3397        9.1413
        4630       -2.8042        9.3666
        4641       -0.2560        9.0450
        4685       13.2764        8.6339
        4730       26.6494        8.1170
        4838       19.6945       10.0063
        4848       24.0680        9.7901
        4873       33.2437        9.9237
        4875       32.6158       10.5165
        4914       -0.0342       12.2810
        4976       12.9939       11.0085
        4986       13.3040       12.4835
        5044       27.8640       12.1044
        5066       -9.1283       12.6412
        5093       -2.6506       13.0582
        5161       13.1125       13.7273
        5211       23.6105       13.7913
        5238       32.8545       13.1699
        5264       -0.0212       15.2319
        5346       19.8985       14.4470
        5381       -9.2825       15.8813
        5390       -2.2920       15.8655
        5434       13.5628       16.0975
        5460       24.1464       17.1811
        5474       26.6582       16.1428
        5488       -9.6346       18.4138
        5555       13.2846       17.7825
        5581       20.0167       17.8548
        5613       32.5515       17.5112
        5643        0.0648       19.0393
        5679       13.4085       19.1646
        5732       24.5906       20.4013
        5736       26.6291       18.7750
        5757       32.5798       19.9087
        5777       -3.1871       20.5280
        5889       -9.6265       23.0006
        5918        0.5471       22.3077
        5947       13.2434       21.7515
        5975       27.5562       22.8741
        5981       32.6193       22.0787
        6005       -2.7181       23.8259
        6074       23.6087       24.0012
        6133        0.0751       26.2647
        6162       13.4157       26.1603
        6186       20.1215       25.7347
        6202       26.7817       25.7502
        6218       32.9854       24.9922
        6221       -9.8917       27.3359
        6228       -3.6386       26.7079
        6298       24.1264       27.1670
        6326       32.9004       27.6150
        6336       -0.5250       29.3327
        6367       19.6620       28.2454
        6395       26.6757       29.1362
        6412       -9.6826       30.1294
        6419       -3.6775       30.6454
        6455       10.4761       30.2692
        6463       13.5657       29.5681
        6527       -9.7697       32.1895
        6597       19.8164       31.4872
        6612       24.1136       31.4238
        6644       33.0508       31.8120
        6658       -2.9736       33.5758
        6663       -0.5884       33.2880
        6695       13.6053       32.8441
        6737       26.6528       33.3160
        6767       32.4322       33.9246
        6806       19.3624       35.0566
        6820       24.2289       34.2545
        6836       -9.0399       36.8265
        6864        0.4018       36.3165
        6889        9.5564       37.1446
        6894       13.2504       35.9555
        6945       -9.7691       38.2689
        6959       -3.2025       37.4780
        7019       13.6829       38.6581
        7042       19.7659       38.0988
        7053       24.4880       37.8276
        7065       27.6516       37.4631
        7089       33.3116       38.3144
        7107       -0.3196       39.9926
        7190       26.7247       39.7729
        7231       -3.1584       40.9819
        7243       10.0353       40.5251
        7260       24.1115       41.5886
        7279       32.2012       41.4376
        7280       -8.9174       42.7040
        7362       19.5019       43.4001
        7384       27.0722       43.2344
        7416       -3.4825       44.2070
        7446        0.3745       43.3757
        7501       13.7293       43.4389
        7556       32.7556       44.7833
        7578       -3.6373       46.1527
        7623       13.8603       45.8170
        7636       19.9560       45.0264
        7646       24.3267       45.1318
        7651       27.1503       46.1703
        7658       32.5410       45.6193
        7791       -8.5794       51.3631
   200000004       23.1705       38.0374
   200000003       25.6305      -34.8180
   200000006       -0.3455       36.7411
         -99        0.0000        0.0000
      205022       0
          45      -33.9071      -49.9019
          76      -27.3943      -50.1453
          81      -24.8850      -51.0277
         101      -12.0078      -49.7705
         130       -1.0083      -50.6426
         173      -11.8738      -48.3097
         187       -5.7154      -48.7240
         218        7.9495      -48.4586
         220      -33.8070      -46.8447
         235      -25.3544      -47.6281
         259      -11.5439      -47.9754
         285        0.1428      -47.3422
         294        1.7793      -47.4445
         307        7.7154      -47.2057
         330      -27.1146      -46.1619
         378      -33.9440      -44.5144
         400      -27.4607      -43.7105
         404      -25.3890      -44.5181
         452      -11.5971      -43.9912
         474       -5.7486      -45.1113
         502        2.1051      -44.0950
         524        7.5727      -45.2398
         597      -12.1655      -43.2231
         628       -0.2620      -42.6859
         646        7.7373      -42.5437
         647        7.9613      -43.1374
         654      -33.6055      -40.8557
         681      -24.8192      -40.7348
         717      -11.7162      -40.7729
         732       -5.9717      -42.0229
         756        1.4496      -41.3521
         791      -27.4567      -39.9328
         821      -12.0325      -38.9353
         874        8.1831      -40.3357
         879      -33.7490      -37.2932
         973       -5.2340      -38.9480
        1014        8.2223      -38.3934
        1030      -27.1130      -36.2762
        1041      -24.3998      -37.1778
        1078      -12.0153      -37.2992
        1079      -11.7927      -37.4447
        1110        1.9499      -37.3186
        1130        8.1718      -36.5430
        1219       -5.7364      -35.2834
        1227       -0.3584      -35.8506
        1252        7.9199      -35.8072
        1259      -33.8651      -33.7898
        1276      -24.8725      -33.7596
        1306      -11.7746      -33.0267
        1316      -10.7607      -33.6660
        1339       -0.5282      -33.2786
        1340        1.2892      -33.7608
        1378      -27.2506      -32.5707
        1465       -5.2046      -31.7517
        1505        8.3583      -31.8634
        1511      -33.6232      -30.0028
        1529      -25.0987      -30.8646
        1595      -11.2537      -30.6763
        1649        8.2299      -30.8195
        1661      -26.8285      -29.3648
        1702      -11.8811      -28.8414
        1735       -5.1749      -29.0645
        1755       -0.2609      -29.1555
        1763      -33.8050      -27.2181
        1774      -24.9994      -27.0265
        1832        8.2666      -27.6180
        1837        8.1325      -27.6642
        1858      -27.0900      -25.5659
        1913      -11.0807      -26.0723
        1933       -0.1067      -26.7284
        1938        2.2436      -25.5657
        1953        7.8626      -25.8563
        2020      -11.9608      -24.9788
        2021      -11.2453      -24.2838
        2043       -5.5211      -24.9737
        2085      -33.7848      -23.2630
        2106      -26.8170      -22.9569
        2116      -24.7949      -23.4312
        2191        0.7265      -22.6868
        2198        1.8968      -23.4015
        2217        7.7301      -23.5468
        2267      -11.2916      -21.5434
        2290       -4.4302      -22.0914
        2314        7.4012      -21.9160
        2316      -33.9134      -18.9568
        2338      -27.2769      -19.0035
        2351      -24.7748      -20.0374
        2391      -11.4839      -19.6401
        2392      -11.5621      -19.9104
        2453        8.3055      -20.0730
        2546       -4.6917      -18.0130
        2563        0.8190      -19.1130
        2607      -33.6548      -16.6957
        2632      -24.9740      -16.8993
        2666      -11.1418      -16.8393
        2715        2.4331      -16.5508
        2729        8.1081      -17.3026
        2744      -27.2991      -15.5255
        2767      -11.4482      -15.6080
        2789       -0.7127      -15.5398
        2811        8.1152      -15.4508
        2844      -24.8913      -12.7476
        2906       -4.4026      -14.4148
        2932        1.8804      -13.2335
        2962      -33.8527      -11.5700
        2975      -27.5320      -11.3296
        3030      -11.6699      -12.7146
        3077       -0.2740      -12.1830
        3104        8.1287      -12.4124
        3107      -33.6540      -10.0122
        3183       -4.6961      -11.3464
        3208        2.9959      -10.4723
        3231        8.0813      -11.6193
        3242      -27.6113       -8.4339
        3250      -24.2725       -9.1407
        3281      -10.7698       -9.8051
        3299       -0.3659       -9.7570
        3343      -24.8453       -6.7626
        3389      -10.9325       -8.0202
        3409       -6.0842       -7.6451
        3451        7.9571       -7.6368
        3457      -33.4869       -5.8478
        3518      -11.5425       -5.8988
        3519      -11.1282       -6.5883
        3567        2.1396       -6.5255
        3615      -26.8684       -4.9515
        3683       -4.5096       -4.4828
        3695       -0.2789       -5.0585
        3715        8.4950       -5.3023
        3717      -33.3944       -3.1303
        3744      -24.7105       -3.0653
        3798        3.1250       -3.0905
        3808        8.1038       -3.7848
        3878      -11.2418       -2.1402
        3914        0.8504       -1.3476
        3934        8.7524       -1.5133
        3940        8.6281       -1.3548
        3967      -27.4378       -0.5572
        3973      -25.1059        0.9062
        4017      -11.3166        0.1138
        4036       -5.1167       -0.5799
        4064        2.5301        0.0386
        4086      -33.6431        1.6606
        4107      -26.9674        1.5275
        4135      -11.0833        1.4121
        4277       -4.4086        3.1719
        4306        8.1697        3.1481
        4312      -33.5509        5.2103
        4336      -24.0108        4.1459
        4352      -13.9131        5.2623
        4361       -9.8232        3.8242
        4395        2.3620        3.6854
        4451      -27.2295        5.5450
        4543       -4.2849        6.5172
        4553       -0.1978        5.2797
        4602        8.5688        6.1877
        4606      -33.6138        8.0473
        4630      -27.0947        8.4506
        4641      -24.5587        8.1130
        4685      -11.0959        7.5056
        4730        2.1691        6.8131
        4838       -4.7013        8.7840
        4848       -0.3653        8.5098
        4873        8.7196        8.5207
        4875        8.1049        9.1153
        4914      -24.2925       11.3164
        4976      -11.3459        9.9878
        4986      -11.0240       11.0704
        5044        3.4226       10.7567
        5066      -33.3654       11.8002
        5093      -26.8917       12.1274
        5161      -11.2010       12.5738
        5211       -0.7423       12.2211
        5238        8.3741       11.7493
        5264      -24.2436       14.2564
        5346       -4.4442       13.1960
        5381      -33.4812       15.0349
        5390      -26.4992       14.9204
        5434      -10.7271       14.9279
        5460       -0.2031       15.8535
        5474        2.2755       14.7860
        5488      -33.8041       17.5652
        5555      -10.9813       16.6056
        5581       -4.2873       16.5825
        5613        8.1227       16.0618
        5643      -24.1182       18.0476
        5679      -10.8430       17.9790
        5732        0.2763       18.8967
        5736        2.2735       17.4015
        5757        8.1767       18.4417
        5777      -27.3371       19.4632
        5889      -33.7423       22.1382
        5918      -23.6025       21.2059
        5947      -10.9739       20.7918
        5975        3.2370       21.4594
        5981        8.2430       20.5957
        6005      -26.8308       22.8578
        6074       -0.6565       22.6382
        6133      -24.0227       25.1540
        6162      -10.7543       24.9385
        6186       -4.0971       24.4135
        6202        2.5094       24.3292
        6218        8.6401       23.4821
        6221      -33.9409       26.4666
        6228      -27.7121       25.7425
        6298       -0.1051       25.7770
        6326        8.5840       26.0886
        6336      -24.5849       28.3114
        6367       -4.5233       26.9168
        6395        2.4458       27.6946
        6412      -33.6977       29.4736
        6419      -27.7111       29.6685
        6455      -13.6267       29.0719
        6463      -10.5625       28.4300
        6527      -33.7595       31.2251
        6597       -4.3313       30.1375
        6612       -0.0628       30.2038
        6644        8.7804       30.2519
        6658      -26.9831       32.4201
        6663      -24.6012       32.2506
        6695      -10.4864       31.5843
        6737        2.4723       31.8992
        6767        8.2209       32.3605
        6806       -4.7361       33.6937
        6820        0.0800       32.8174
        6836      -32.9946       35.9137
        6864      -23.5841       35.2545
        6889      -14.4608       35.9284
        6894      -10.7991       34.5807
        6945      -33.6800       37.3675
        6959      -27.1652       36.4697
